ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Goodwill,Budget sources and other funds,Investment and development funds (Bn. VND),Convertible bonds (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Investment in joint ventures,Difference upon Assets Revaluation,Minority Interest
VHM,2017,4,44421050167080.0,1561577770818,0.0,24774715203806.0,17006259676992.0,1078497515464.0,6882768858975.0,3257497661.0,1355894476327,163038247202.0,1754972107124,1059070162884.0,51303819026055,41180033529612,34223057193372.0,6956976336240.0,10123785496443,10123785496443.0,0.0,5003298133184,3219605214270,51303819026055,1695194896147.0,9477028513431.0,17265369555979.0,206578466985.0,2000000000000.0,2000000000000,6627686696069.0,16845744264404.0,8699590490328.0,626811318467.0,392514863581.0,1695528410000,84480824736.0,87738322397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2017,1,17588966907958.0,3130787814820,0.0,6581696792056.0,7193756083267.0,682726217815.0,21896079418563.0,3989915115.0,3210903049444,2057167351364.0,10635715306480,737967757721.0,39485046326521,29167961409008,28036274639358.0,1131686769650.0,10317084917513,10317084917513.0,0.0,3710860555377,7374847041442,39485046326521,738621843700.0,5219473499719.0,7202142963005.0,96816638037.0,2000000000000.0,2000000000000,0.0,10193240889952.0,9968432569431.0,679520584365.0,50191999331.0,1657317823200,242866539736.0,246856454851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2016,4,13289555996333.0,2802422910160,0.0,4698395475334.0,5189415136375.0,599322474464.0,21028188226553.0,3989915115.0,3103907347589,1135706826631.0,10878265384839,3599353253071.0,34317744222886,27831585674942,26658567757222.0,1173017917720.0,6486158547944,6486158547944.0,0.0,3354603743436,3942877981794,34317744222886,496777421006.0,3122655962694.0,5197802016113.0,96816638030.0,2000000000000.0,2000000000000,0.0,10662330125207.0,8929678052030.0,3534381475308.0,58190146520.0,1654613852400,101801490833.0,105791405948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2016,3,16984303421610.0,756280167021,0.0,7233230648413.0,8021397872553.0,973394733623.0,16796568537957.0,7559839165.0,5088127450165,244179429474.0,7758728790099,482454652428.0,33780871959567,29380298180629,28956795841990.0,423502338639.0,4400573778938,4400573778938.0,0.0,1859345356488,3365031679302,33780871959567,1022519625584.0,361362643357.0,8025119439217.0,259789445786.0,2000000000000.0,2000000000000,365056933529.0,12691167293745.0,8667085361359.0,393403128474.0,88924592655.0,1618307823200,46494257238.0,54054096403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2016,2,10523132392811.0,252928903892,53324400539.0,1208526623033.0,8099856924609.0,908495540738.0,17698555639928.0,7559839165.0,3198651302659,219232374535.0,12228867907015,468578508270.0,28221688032739,21563669330998,21129628249548.0,434041081450.0,6658018701741,6658018701741.0,0.0,1342830128804,3379961588479,28221688032739,577113045622.0,361868557701.0,8103069223105.0,259789445787.0,2000000000000.0,2000000000000,376056384382.0,11686119086705.0,2622062118926.0,404139872608.0,59412753436.0,1571256960200,13199544587.0,20759383752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2016,1,11043961481674.0,870801186357,664700267493.0,1972577930272.0,6428518771659.0,1107363325893.0,17615127389796.0,7559839165.0,2775778427825,221816653386.0,12577131056516,479653500278.0,28659088871470,21429731673119,20981030530565.0,448701142554.0,7229357198351,7229357198351.0,0.0,1875418198513,3395155278051,28659088871470,972515008546.0,88939790100.0,6431246071757.0,586772755922.0,2000000000000.0,2000000000000,386205595974.0,9537384088966.0,5122954593816.0,419368488668.0,54756541161.0,1694186960200,12364919407.0,19924758572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2025,4,660924812000000.0,73526497000000,8253330000000.0,257058692000000.0,206993940000000.0,115092353000000.0,460532216000000.0,1546164000000.0,194150775000000,19714879000000.0,39623386000000,54401563000000.0,1121457028000000,970001804000000,592409830000000.0,377591974000000.0,151455224000000,151455224000000.0,15306530000000.0,55668366000000,2819223000000,1121457028000000,84801731000000.0,8438394000000.0,218339351000000.0,96636385000000.0,77060310000000.0,77334919000000,221434236000000.0,139356585000000.0,113955484000000.0,3955994000000.0,9249236000000.0,32104649000000,18864737000000.0,21114307000000.0,0.0,0.0,0.0,3081207000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2025,3,590641891000000.0,72150719000000,7918430000000.0,267274537000000.0,185624958000000.0,57673247000000.0,497228434000000.0,11892765000000.0,185370711000000,18934011000000.0,32709444000000,109926939000000.0,1087870325000000,925966426000000,557896380000000.0,368070046000000.0,161903899000000,161903899000000.0,15306530000000.0,52505390000000,16193864000000,1087870325000000,72962931000000.0,24092071000000.0,199871279000000.0,39384463000000.0,38530155000000.0,38804764000000,204805693000000.0,154865321000000.0,117122101000000.0,4097359000000.0,9212159000000.0,24743866000000,12733642000000.0,25550797000000.0,0.0,0.0,0.0,3411935000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2025,2,529134246000000.0,74759825000000,9592662000000.0,254128765000000.0,135055347000000.0,55597647000000.0,429101195000000.0,22880838000000.0,184762254000000,11603410000000.0,31399347000000,45416514000000.0,958235441000000,799543551000000,512360784000000.0,287182767000000.0,158691890000000,158691890000000.0,15306530000000.0,51052527000000,14336935000000,958235441000000,59998585000000.0,20180389000000.0,149377545000000.0,39184133000000.0,38236616000000.0,38785833000000,156309167000000.0,106640102000000.0,122630037000000.0,4238916000000.0,9225455000000.0,23026722000000,9701525000000.0,33675384000000.0,0.0,0.0,0.0,3806580000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC,2025,1,372183892000000.0,32491938000000,7480260000000.0,179643132000000.0,110814852000000.0,41753710000000.0,451086356000000.0,29615230000000.0,180969752000000,12770851000000.0,26832752000000,25912728000000.0,823270248000000,665817661000000,440710635000000.0,225107026000000.0,157452587000000,157452587000000.0,15306530000000.0,51447113000000,13026603000000,823270248000000,52193588000000.0,512206000000.0,124925405000000.0,27803173000000.0,38236616000000.0,38785833000000,149589087000000.0,90162798000000.0,98216347000000.0,4378934000000.0,8468210000000.0,19407044000000,58258943000000.0,89374815000000.0,0.0,0.0,0.0,3720189000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
